"id";"nome";"url_detalhes";"tipo_primario";"tipo_secundario";"url_imagem";"geracao";"especie";"altura";"peso";"hp";"ataque";"defesa";"ataque_especial";"defesa_especial";"velocidade";"stats_total"
"#0017";"Pidgeotto";"https://pokemondb.net/pokedex/pidgeotto";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/pidgeotto.jpg";"Generation 1";"Bird Pokémon";"1.1";"30.0";"63";"60";"55";"50";"50";"71";"349"
"#0018";"Pidgeot";"https://pokemondb.net/pokedex/pidgeot";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/pidgeot.jpg";"Generation 1";"Bird Pokémon";"2.2";"50.5";"83";"80";"80";"135";"80";"121";"579"
"#0019";"Rattata";"https://pokemondb.net/pokedex/rattata";"Normal";"";"https://img.pokemondb.net/sprites/home/normal/2x/rattata.jpg";"Generation 1";"Mouse Pokémon";"0.3";"3.8";"30";"56";"35";"25";"35";"72";"253"
"#0020";"Raticate";"https://pokemondb.net/pokedex/raticate";"Normal";"";"https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg";"Generation 1";"Mouse Pokémon";"0.7";"25.5";"75";"71";"70";"40";"80";"77";"413"
"#0021";"Spearow";"https://pokemondb.net/pokedex/spearow";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/spearow.jpg";"Generation 1";"Tiny Bird Pokémon";"0.3";"2.0";"40";"60";"30";"31";"31";"70";"262"
"#0022";"Fearow";"https://pokemondb.net/pokedex/fearow";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/fearow.jpg";"Generation 1";"Beak Pokémon";"1.2";"38.0";"65";"90";"65";"61";"61";"100";"442"
"#0023";"Ekans";"https://pokemondb.net/pokedex/ekans";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/ekans.jpg";"Generation 1";"Snake Pokémon";"2.0";"6.9";"35";"60";"44";"40";"54";"55";"288"
"#0024";"Arbok";"https://pokemondb.net/pokedex/arbok";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/arbok.jpg";"Generation 1";"Cobra Pokémon";"3.5";"65.0";"60";"95";"69";"65";"79";"80";"448"
"#0025";"Pikachu";"https://pokemondb.net/pokedex/pikachu";"Electric";"";"https://img.pokemondb.net/sprites/home/normal/2x/pikachu.jpg";"Generation 1";"Mouse Pokémon";"0.4";"6.0";"45";"80";"50";"75";"60";"120";"430"
"#0026";"Raichu";"https://pokemondb.net/pokedex/raichu";"Electric";"";"https://img.pokemondb.net/sprites/home/normal/2x/raichu.jpg";"Generation 1";"Mouse Pokémon";"0.7";"21.0";"60";"85";"50";"95";"85";"110";"485"
"#0027";"Sandshrew";"https://pokemondb.net/pokedex/sandshrew";"Ground";"";"https://img.pokemondb.net/sprites/home/normal/2x/sandshrew.jpg";"Generation 1";"Mouse Pokémon";"0.7";"40.0";"50";"75";"90";"10";"35";"40";"300"
"#0028";"Sandslash";"https://pokemondb.net/pokedex/sandslash";"Ground";"";"https://img.pokemondb.net/sprites/home/normal/2x/sandslash.jpg";"Generation 1";"Mouse Pokémon";"1.2";"55.0";"75";"100";"120";"25";"65";"65";"450"
"#0029";"Nidoran♀";"https://pokemondb.net/pokedex/nidoran-f";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/nidoran-f.jpg";"Generation 1";"Poison Pin Pokémon";"0.4";"7.0";"55";"47";"52";"40";"40";"41";"275"
"#0030";"Nidorina";"https://pokemondb.net/pokedex/nidorina";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/nidorina.jpg";"Generation 1";"Poison Pin Pokémon";"0.8";"20.0";"70";"62";"67";"55";"55";"56";"365"
"#0031";"Nidoqueen";"https://pokemondb.net/pokedex/nidoqueen";"Poison";"Ground";"https://img.pokemondb.net/sprites/home/normal/2x/nidoqueen.jpg";"Generation 1";"Drill Pokémon";"1.3";"60.0";"90";"92";"87";"75";"85";"76";"505"
"#0032";"Nidoran♂";"https://pokemondb.net/pokedex/nidoran-m";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/nidoran-m.jpg";"Generation 1";"Poison Pin Pokémon";"0.5";"9.0";"46";"57";"40";"40";"40";"50";"273"
"#0033";"Nidorino";"https://pokemondb.net/pokedex/nidorino";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/nidorino.jpg";"Generation 1";"Poison Pin Pokémon";"0.9";"19.5";"61";"72";"57";"55";"55";"65";"365"
"#0034";"Nidoking";"https://pokemondb.net/pokedex/nidoking";"Poison";"Ground";"https://img.pokemondb.net/sprites/home/normal/2x/nidoking.jpg";"Generation 1";"Drill Pokémon";"1.4";"62.0";"81";"102";"77";"85";"75";"85";"505"
"#0035";"Clefairy";"https://pokemondb.net/pokedex/clefairy";"Fairy";"";"https://img.pokemondb.net/sprites/home/normal/2x/clefairy.jpg";"Generation 1";"Fairy Pokémon";"0.6";"7.5";"70";"45";"48";"60";"65";"35";"323"
"#0036";"Clefable";"https://pokemondb.net/pokedex/clefable";"Fairy";"";"https://img.pokemondb.net/sprites/home/normal/2x/clefable.jpg";"Generation 1";"Fairy Pokémon";"1.3";"40.0";"95";"70";"73";"95";"90";"60";"483"
"#0037";"Vulpix";"https://pokemondb.net/pokedex/vulpix";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg";"Generation 1";"Fox Pokémon";"0.6";"9.9";"38";"41";"40";"50";"65";"65";"299"
"#0038";"Ninetales";"https://pokemondb.net/pokedex/ninetales";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg";"Generation 1";"Fox Pokémon";"1.1";"19.9";"73";"67";"75";"81";"100";"109";"505"
"#0039";"Jigglypuff";"https://pokemondb.net/pokedex/jigglypuff";"Normal";"Fairy";"https://img.pokemondb.net/sprites/home/normal/2x/jigglypuff.jpg";"Generation 1";"Balloon Pokémon";"0.5";"5.5";"115";"45";"20";"45";"25";"20";"270"
"#0040";"Wigglytuff";"https://pokemondb.net/pokedex/wigglytuff";"Normal";"Fairy";"https://img.pokemondb.net/sprites/home/normal/2x/wigglytuff.jpg";"Generation 1";"Balloon Pokémon";"1.0";"12.0";"140";"70";"45";"85";"50";"45";"435"
"#0041";"Zubat";"https://pokemondb.net/pokedex/zubat";"Poison";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/zubat.jpg";"Generation 1";"Bat Pokémon";"0.8";"7.5";"40";"45";"35";"30";"40";"55";"245"
"#0042";"Golbat";"https://pokemondb.net/pokedex/golbat";"Poison";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/golbat.jpg";"Generation 1";"Bat Pokémon";"1.6";"55.0";"75";"80";"70";"65";"75";"90";"455"
"#0043";"Oddish";"https://pokemondb.net/pokedex/oddish";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/oddish.jpg";"Generation 1";"Weed Pokémon";"0.5";"5.4";"45";"50";"55";"75";"65";"30";"320"
"#0044";"Gloom";"https://pokemondb.net/pokedex/gloom";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/gloom.jpg";"Generation 1";"Weed Pokémon";"0.8";"8.6";"60";"65";"70";"85";"75";"40";"395"
"#0045";"Vileplume";"https://pokemondb.net/pokedex/vileplume";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/vileplume.jpg";"Generation 1";"Flower Pokémon";"1.2";"18.6";"75";"80";"85";"110";"90";"50";"490"
"#0046";"Paras";"https://pokemondb.net/pokedex/paras";"Bug";"Grass";"https://img.pokemondb.net/sprites/home/normal/2x/paras.jpg";"Generation 1";"Mushroom Pokémon";"0.3";"5.4";"35";"70";"55";"45";"55";"25";"285"
"#0047";"Parasect";"https://pokemondb.net/pokedex/parasect";"Bug";"Grass";"https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg";"Generation 1";"Mushroom Pokémon";"1.0";"29.5";"60";"95";"80";"60";"80";"30";"405"
"#0048";"Venonat";"https://pokemondb.net/pokedex/venonat";"Bug";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/venonat.jpg";"Generation 1";"Insect Pokémon";"1.0";"30.0";"60";"55";"50";"40";"55";"45";"305"
"#0049";"Venomoth";"https://pokemondb.net/pokedex/venomoth";"Bug";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/venomoth.jpg";"Generation 1";"Poison Moth Pokémon";"1.5";"12.5";"70";"65";"60";"90";"75";"90";"450"
"#0050";"Diglett";"https://pokemondb.net/pokedex/diglett";"Ground";"";"https://img.pokemondb.net/sprites/home/normal/2x/diglett.jpg";"Generation 1";"Mole Pokémon";"0.2";"1.0";"10";"55";"30";"35";"45";"90";"265"
"#0051";"Dugtrio";"https://pokemondb.net/pokedex/dugtrio";"Ground";"";"https://img.pokemondb.net/sprites/home/normal/2x/dugtrio.jpg";"Generation 1";"Mole Pokémon";"0.7";"66.6";"35";"100";"60";"50";"70";"110";"425"
"#0052";"Meowth";"https://pokemondb.net/pokedex/meowth";"Normal";"";"https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg";"Generation 1";"Scratch Cat Pokémon";"0.4";"7.5";"50";"65";"55";"40";"40";"40";"290"
"#0053";"Persian";"https://pokemondb.net/pokedex/persian";"Normal";"";"https://img.pokemondb.net/sprites/home/normal/2x/persian.jpg";"Generation 1";"Classy Cat Pokémon";"1.1";"33.0";"65";"60";"60";"75";"65";"115";"440"
"#0054";"Psyduck";"https://pokemondb.net/pokedex/psyduck";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/psyduck.jpg";"Generation 1";"Duck Pokémon";"0.8";"19.6";"50";"52";"48";"65";"50";"55";"320"
"#0055";"Golduck";"https://pokemondb.net/pokedex/golduck";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/golduck.jpg";"Generation 1";"Duck Pokémon";"1.7";"76.6";"80";"82";"78";"95";"80";"85";"500"
"#0056";"Mankey";"https://pokemondb.net/pokedex/mankey";"Fighting";"";"https://img.pokemondb.net/sprites/home/normal/2x/mankey.jpg";"Generation 1";"Pig Monkey Pokémon";"0.5";"28.0";"40";"80";"35";"35";"45";"70";"305"
"#0057";"Primeape";"https://pokemondb.net/pokedex/primeape";"Fighting";"";"https://img.pokemondb.net/sprites/home/normal/2x/primeape.jpg";"Generation 1";"Pig Monkey Pokémon";"1.0";"32.0";"65";"105";"60";"60";"70";"95";"455"
"#0058";"Growlithe";"https://pokemondb.net/pokedex/growlithe";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg";"Generation 1";"Scout Pokémon";"0.8";"22.7";"60";"75";"45";"65";"50";"55";"350"
"#0059";"Arcanine";"https://pokemondb.net/pokedex/arcanine";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg";"Generation 1";"Legendary Pokémon";"2.0";"168.0";"95";"115";"80";"95";"80";"90";"555"
"#0060";"Poliwag";"https://pokemondb.net/pokedex/poliwag";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/poliwag.jpg";"Generation 1";"Tadpole Pokémon";"0.6";"12.4";"40";"50";"40";"40";"40";"90";"300"
"#0061";"Poliwhirl";"https://pokemondb.net/pokedex/poliwhirl";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/poliwhirl.jpg";"Generation 1";"Tadpole Pokémon";"1.0";"20.0";"65";"65";"65";"50";"50";"90";"385"
"#0062";"Poliwrath";"https://pokemondb.net/pokedex/poliwrath";"Water";"Fighting";"https://img.pokemondb.net/sprites/home/normal/2x/poliwrath.jpg";"Generation 1";"Tadpole Pokémon";"1.3";"54.0";"90";"95";"95";"70";"90";"70";"510"
"#0063";"Abra";"https://pokemondb.net/pokedex/abra";"Psychic";"";"https://img.pokemondb.net/sprites/home/normal/2x/abra.jpg";"Generation 1";"Psi Pokémon";"0.9";"19.5";"25";"20";"15";"105";"55";"90";"310"
"#0064";"Kadabra";"https://pokemondb.net/pokedex/kadabra";"Psychic";"";"https://img.pokemondb.net/sprites/home/normal/2x/kadabra.jpg";"Generation 1";"Psi Pokémon";"1.3";"56.5";"40";"35";"30";"120";"70";"105";"400"
"#0065";"Alakazam";"https://pokemondb.net/pokedex/alakazam";"Psychic";"";"https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg";"Generation 1";"Psi Pokémon";"1.2";"48.0";"55";"50";"65";"175";"105";"150";"600"
"#0066";"Machop";"https://pokemondb.net/pokedex/machop";"Fighting";"";"https://img.pokemondb.net/sprites/home/normal/2x/machop.jpg";"Generation 1";"Superpower Pokémon";"0.8";"19.5";"70";"80";"50";"35";"35";"35";"305"
"#0067";"Machoke";"https://pokemondb.net/pokedex/machoke";"Fighting";"";"https://img.pokemondb.net/sprites/home/normal/2x/machoke.jpg";"Generation 1";"Superpower Pokémon";"1.5";"70.5";"80";"100";"70";"50";"60";"45";"405"
"#0068";"Machamp";"https://pokemondb.net/pokedex/machamp";"Fighting";"";"https://img.pokemondb.net/sprites/home/normal/2x/machamp.jpg";"Generation 1";"Superpower Pokémon";"1.6";"130.0";"90";"130";"80";"65";"85";"55";"505"
"#0069";"Bellsprout";"https://pokemondb.net/pokedex/bellsprout";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/bellsprout.jpg";"Generation 1";"Flower Pokémon";"0.7";"4.0";"50";"75";"35";"70";"30";"40";"300"
"#0070";"Weepinbell";"https://pokemondb.net/pokedex/weepinbell";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/weepinbell.jpg";"Generation 1";"Flycatcher Pokémon";"1.0";"6.4";"65";"90";"50";"85";"45";"55";"390"
"#0071";"Victreebel";"https://pokemondb.net/pokedex/victreebel";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/victreebel.jpg";"Generation 1";"Flycatcher Pokémon";"1.7";"15.5";"80";"105";"65";"100";"70";"70";"490"
"#0072";"Tentacool";"https://pokemondb.net/pokedex/tentacool";"Water";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/tentacool.jpg";"Generation 1";"Jellyfish Pokémon";"0.9";"45.5";"40";"40";"35";"50";"100";"70";"335"
"#0073";"Tentacruel";"https://pokemondb.net/pokedex/tentacruel";"Water";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/tentacruel.jpg";"Generation 1";"Jellyfish Pokémon";"1.6";"55.0";"80";"70";"65";"80";"120";"100";"515"
"#0074";"Geodude";"https://pokemondb.net/pokedex/geodude";"Rock";"Ground";"https://img.pokemondb.net/sprites/home/normal/2x/geodude.jpg";"Generation 1";"Rock Pokémon";"0.4";"20.3";"40";"80";"100";"30";"30";"20";"300"
"#0075";"Graveler";"https://pokemondb.net/pokedex/graveler";"Rock";"Ground";"https://img.pokemondb.net/sprites/home/normal/2x/graveler.jpg";"Generation 1";"Rock Pokémon";"1.0";"110.0";"55";"95";"115";"45";"45";"35";"390"
"#0076";"Golem";"https://pokemondb.net/pokedex/golem";"Rock";"Ground";"https://img.pokemondb.net/sprites/home/normal/2x/golem.jpg";"Generation 1";"Megaton Pokémon";"1.7";"316.0";"80";"120";"130";"55";"65";"45";"495"
"#0077";"Ponyta";"https://pokemondb.net/pokedex/ponyta";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg";"Generation 1";"Unique Horn Pokémon";"0.8";"24.0";"50";"85";"55";"65";"65";"90";"410"
"#0078";"Rapidash";"https://pokemondb.net/pokedex/rapidash";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg";"Generation 1";"Unique Horn Pokémon";"1.7";"80.0";"65";"100";"70";"80";"80";"105";"500"
"#0079";"Slowpoke";"https://pokemondb.net/pokedex/slowpoke";"Water";"Psychic";"https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg";"Generation 1";"Dopey Pokémon";"1.2";"36.0";"90";"65";"65";"40";"40";"15";"315"
"#0080";"Slowbro";"https://pokemondb.net/pokedex/slowbro";"Water";"Psychic";"https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg";"Generation 1";"Hermit Crab Pokémon";"1.6";"70.5";"95";"100";"95";"100";"70";"30";"490"
"#0081";"Magnemite";"https://pokemondb.net/pokedex/magnemite";"Electric";"Steel";"https://img.pokemondb.net/sprites/home/normal/2x/magnemite.jpg";"Generation 1";"Magnet Pokémon";"0.3";"6.0";"25";"35";"70";"95";"55";"45";"325"
"#0082";"Magneton";"https://pokemondb.net/pokedex/magneton";"Electric";"Steel";"https://img.pokemondb.net/sprites/home/normal/2x/magneton.jpg";"Generation 1";"Magnet Pokémon";"1.0";"60.0";"50";"60";"95";"120";"70";"70";"465"
"#0083";"Farfetch'd";"https://pokemondb.net/pokedex/farfetchd";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/farfetchd.jpg";"Generation 1";"Wild Duck Pokémon";"0.8";"42.0";"52";"95";"55";"58";"62";"55";"377"
"#0084";"Doduo";"https://pokemondb.net/pokedex/doduo";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/doduo.jpg";"Generation 1";"Twin Bird Pokémon";"1.4";"39.2";"35";"85";"45";"35";"35";"75";"310"
"#0085";"Dodrio";"https://pokemondb.net/pokedex/dodrio";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/dodrio.jpg";"Generation 1";"Triple Bird Pokémon";"1.8";"85.2";"60";"110";"70";"60";"60";"110";"470"
"#0086";"Seel";"https://pokemondb.net/pokedex/seel";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/seel.jpg";"Generation 1";"Sea Lion Pokémon";"1.1";"90.0";"65";"45";"55";"45";"70";"45";"325"
"#0087";"Dewgong";"https://pokemondb.net/pokedex/dewgong";"Water";"Ice";"https://img.pokemondb.net/sprites/home/normal/2x/dewgong.jpg";"Generation 1";"Sea Lion Pokémon";"1.7";"120.0";"90";"70";"80";"70";"95";"70";"475"
"#0088";"Grimer";"https://pokemondb.net/pokedex/grimer";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/grimer.jpg";"Generation 1";"Sludge Pokémon";"0.7";"42.0";"80";"80";"50";"40";"50";"25";"325"
"#0089";"Muk";"https://pokemondb.net/pokedex/muk";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/muk.jpg";"Generation 1";"Sludge Pokémon";"1.0";"52.0";"105";"105";"75";"65";"100";"50";"500"
"#0090";"Shellder";"https://pokemondb.net/pokedex/shellder";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/shellder.jpg";"Generation 1";"Bivalve Pokémon";"0.3";"4.0";"30";"65";"100";"45";"25";"40";"305"
"#0091";"Cloyster";"https://pokemondb.net/pokedex/cloyster";"Water";"Ice";"https://img.pokemondb.net/sprites/home/normal/2x/cloyster.jpg";"Generation 1";"Bivalve Pokémon";"1.5";"132.5";"50";"95";"180";"85";"45";"70";"525"
"#0092";"Gastly";"https://pokemondb.net/pokedex/gastly";"Ghost";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/gastly.jpg";"Generation 1";"Gas Pokémon";"1.3";"0.1";"30";"35";"30";"100";"35";"80";"310"
"#0093";"Haunter";"https://pokemondb.net/pokedex/haunter";"Ghost";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/haunter.jpg";"Generation 1";"Gas Pokémon";"1.6";"0.1";"45";"50";"45";"115";"55";"95";"405"
"#0094";"Gengar";"https://pokemondb.net/pokedex/gengar";"Ghost";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/gengar.jpg";"Generation 1";"Shadow Pokémon";"1.4";"40.5";"60";"65";"80";"170";"95";"130";"600"
"#0095";"Onix";"https://pokemondb.net/pokedex/onix";"Rock";"Ground";"https://img.pokemondb.net/sprites/home/normal/2x/onix.jpg";"Generation 1";"Rock Snake Pokémon";"8.8";"210.0";"35";"45";"160";"30";"45";"70";"385"
"#0096";"Drowzee";"https://pokemondb.net/pokedex/drowzee";"Psychic";"";"https://img.pokemondb.net/sprites/home/normal/2x/drowzee.jpg";"Generation 1";"Hypnosis Pokémon";"1.0";"32.4";"60";"48";"45";"43";"90";"42";"328"
"#0097";"Hypno";"https://pokemondb.net/pokedex/hypno";"Psychic";"";"https://img.pokemondb.net/sprites/home/normal/2x/hypno.jpg";"Generation 1";"Hypnosis Pokémon";"1.6";"75.6";"85";"73";"70";"73";"115";"67";"483"
"#0098";"Krabby";"https://pokemondb.net/pokedex/krabby";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/krabby.jpg";"Generation 1";"River Crab Pokémon";"0.4";"6.5";"30";"105";"90";"25";"25";"50";"325"
"#0099";"Kingler";"https://pokemondb.net/pokedex/kingler";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/kingler.jpg";"Generation 1";"Pincer Pokémon";"1.3";"60.0";"55";"130";"115";"50";"50";"75";"475"
"#0100";"Voltorb";"https://pokemondb.net/pokedex/voltorb";"Electric";"";"https://img.pokemondb.net/sprites/home/normal/2x/voltorb.jpg";"Generation 1";"Sphere Pokémon";"0.5";"13.0";"40";"30";"50";"55";"55";"100";"330"
"#0101";"Electrode";"https://pokemondb.net/pokedex/electrode";"Electric";"";"https://img.pokemondb.net/sprites/home/normal/2x/electrode.jpg";"Generation 1";"Sphere Pokémon";"1.2";"71.0";"60";"50";"70";"80";"80";"150";"490"
"#0102";"Exeggcute";"https://pokemondb.net/pokedex/exeggcute";"Grass";"Psychic";"https://img.pokemondb.net/sprites/home/normal/2x/exeggcute.jpg";"Generation 1";"Egg Pokémon";"0.4";"2.5";"60";"40";"80";"60";"45";"40";"325"
"#0103";"Exeggutor";"https://pokemondb.net/pokedex/exeggutor";"Grass";"Psychic";"https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg";"Generation 1";"Coconut Pokémon";"10.9";"415.6";"95";"105";"85";"125";"75";"45";"530"
"#0104";"Cubone";"https://pokemondb.net/pokedex/cubone";"Ground";"";"https://img.pokemondb.net/sprites/home/normal/2x/cubone.jpg";"Generation 1";"Lonely Pokémon";"0.4";"6.5";"50";"50";"95";"40";"50";"35";"320"
"#0105";"Marowak";"https://pokemondb.net/pokedex/marowak";"Ground";"";"https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg";"Generation 1";"Bone Keeper Pokémon";"1.0";"34.0";"60";"80";"110";"50";"80";"45";"425"
"#0106";"Hitmonlee";"https://pokemondb.net/pokedex/hitmonlee";"Fighting";"";"https://img.pokemondb.net/sprites/home/normal/2x/hitmonlee.jpg";"Generation 1";"Kicking Pokémon";"1.5";"49.8";"50";"120";"53";"35";"110";"87";"455"
"#0107";"Hitmonchan";"https://pokemondb.net/pokedex/hitmonchan";"Fighting";"";"https://img.pokemondb.net/sprites/home/normal/2x/hitmonchan.jpg";"Generation 1";"Punching Pokémon";"1.4";"50.2";"50";"105";"79";"35";"110";"76";"455"
"#0108";"Lickitung";"https://pokemondb.net/pokedex/lickitung";"Normal";"";"https://img.pokemondb.net/sprites/home/normal/2x/lickitung.jpg";"Generation 1";"Licking Pokémon";"1.2";"65.5";"90";"55";"75";"60";"75";"30";"385"
"#0109";"Koffing";"https://pokemondb.net/pokedex/koffing";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/koffing.jpg";"Generation 1";"Poison Gas Pokémon";"0.6";"1.0";"40";"65";"95";"60";"45";"35";"340"
"#0110";"Weezing";"https://pokemondb.net/pokedex/weezing";"Poison";"";"https://img.pokemondb.net/sprites/home/normal/2x/weezing.jpg";"Generation 1";"Poison Gas Pokémon";"3.0";"16.0";"65";"90";"120";"85";"70";"60";"490"
